,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets
20,LYV,"LIVE NATION ENTERTAINMENT, INC.",2012-03-31,10-K,2014-02-24,,,-69150000.0,-42803000.0,867997000.0,,,
15,LYV,"LIVE NATION ENTERTAINMENT, INC.",2011-12-31,10-K,2012-02-24,844253000.0,1715688000.0,-99525000.0,-66684000.0,1185682000.0,189536279.0,1461103000.0,5087771000.0
16,LYV,"LIVE NATION ENTERTAINMENT, INC.",2011-12-31,10-K,2013-02-26,844253000.0,,-99525000.0,-66684000.0,1185682000.0,189536279.0,1461103000.0,5077344000.0
17,LYV,"LIVE NATION ENTERTAINMENT, INC.",2011-12-31,10-K,2014-02-24,844253000.0,,-83016000.0,18337000.0,5383998000.0,,,
18,LYV,"LIVE NATION ENTERTAINMENT, INC.",2011-12-31,10-K,2015-02-26,844253000.0,,,,,,,
13,LYV,"LIVE NATION ENTERTAINMENT, INC.",2011-09-30,10-K,2012-02-24,,,51712000.0,104809000.0,1790025000.0,,,
14,LYV,"LIVE NATION ENTERTAINMENT, INC.",2011-09-30,10-K,2013-02-26,,,51712000.0,104809000.0,1790025000.0,,,
11,LYV,"LIVE NATION ENTERTAINMENT, INC.",2011-06-30,10-K,2012-02-24,,,13257000.0,52373000.0,1558882000.0,,,
12,LYV,"LIVE NATION ENTERTAINMENT, INC.",2011-06-30,10-K,2013-02-26,,,13257000.0,52373000.0,1558882000.0,,,
9,LYV,"LIVE NATION ENTERTAINMENT, INC.",2011-03-31,10-K,2012-02-24,,,-48460000.0,-72161000.0,849409000.0,,,
10,LYV,"LIVE NATION ENTERTAINMENT, INC.",2011-03-31,10-K,2013-02-26,,,-48460000.0,-72161000.0,849409000.0,,,
6,LYV,"LIVE NATION ENTERTAINMENT, INC.",2010-12-31,10-K,2012-02-24,892758000.0,1731864000.0,-124397000.0,-86076000.0,1237846000.0,175418857.0,1364416000.0,5195560000.0
7,LYV,"LIVE NATION ENTERTAINMENT, INC.",2010-12-31,10-K,2013-02-26,892758000.0,,-228390000.0,-63700000.0,5063748000.0,,,
8,LYV,"LIVE NATION ENTERTAINMENT, INC.",2010-12-31,10-K,2014-02-24,892758000.0,,,,,,,
5,LYV,"LIVE NATION ENTERTAINMENT, INC.",2010-09-30,10-K,2012-02-24,,,51007000.0,103106000.0,1835806000.0,,,
4,LYV,"LIVE NATION ENTERTAINMENT, INC.",2010-06-30,10-K,2012-02-24,,,-32787000.0,25606000.0,1266735000.0,,,
3,LYV,"LIVE NATION ENTERTAINMENT, INC.",2010-03-31,10-K,2012-02-24,,,-122213000.0,-106336000.0,723361000.0,,,
1,LYV,"LIVE NATION ENTERTAINMENT, INC.",2009-12-31,10-K,2012-02-24,236955000.0,,-60179000.0,-52356000.0,4181021000.0,,,
2,LYV,"LIVE NATION ENTERTAINMENT, INC.",2009-12-31,10-K,2013-02-26,236955000.0,,,,,,,
0,LYV,"LIVE NATION ENTERTAINMENT, INC.",2008-12-31,10-K,2012-02-24,199660000.0,,,,,,,
