,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets,total_liabilities
32,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2011-12-31,10-K,2015-02-20,221000000.0,,,,,,,,
27,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2011-09-30,10-K,2012-02-28,,,,890000000.0,4333000000.0,,,,
28,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2011-09-30,10-K,2013-02-26,,,,890000000.0,4333000000.0,,,,
25,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2011-06-30,10-K,2012-02-28,,,,717000000.0,3609000000.0,,,,
26,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2011-06-30,10-K,2013-02-26,,,,717000000.0,3609000000.0,,,,
23,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2011-03-31,10-K,2012-02-28,,,,832000000.0,3730000000.0,,,,
24,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2011-03-31,10-K,2013-02-26,,,,832000000.0,3730000000.0,,,,
19,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2010-12-31,10-K,2011-02-25,294000000.0,16811000000.0,1214000000.0,486000000.0,3434000000.0,,13622000000.0,50455000000.0,36773000000.0
20,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2010-12-31,10-K,2012-02-28,294000000.0,16811000000.0,1214000000.0,486000000.0,3434000000.0,,13622000000.0,50455000000.0,36773000000.0
21,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2010-12-31,10-K,2013-02-26,294000000.0,,1214000000.0,2663000000.0,14427000000.0,,,,
22,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2010-12-31,10-K,2014-02-25,294000000.0,,,,,,,,
17,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2010-09-30,10-K,2011-02-25,,,,1025000000.0,4064000000.0,,,,
18,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2010-09-30,10-K,2012-02-28,,,,1025000000.0,4064000000.0,,,,
15,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2010-06-30,10-K,2011-02-25,,,,394000000.0,3360000000.0,,,,
16,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2010-06-30,10-K,2012-02-28,,,,394000000.0,3360000000.0,,,,
13,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2010-03-31,10-K,2011-02-25,,,,758000000.0,3569000000.0,,,,
14,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2010-03-31,10-K,2012-02-28,,,,758000000.0,3569000000.0,,,,
